,graph_name,directed,size,volume,n,m,unique_edge_count,loop_count,wedge_count,claw_count,cross_count,triangle_count,square_count,tour_count_4,maximum_degree,maximum_outdegree,maximum_indegree,average_degree,fill,average_edge_multiplicity,size_of_lcc,size_of_lscc,relative_size_of_lscc,diameter,percentile_effective_diameter_50,percentile_effective_diameter_90,median_distance,mean_distance,gini_coefficient,balanced_inequality_ratio,outdegree_balanced_inequality_ratio,indegree_balanced_inequality_ratio,relative_edge_distribution_entropy,power_law_exponent,tail_power_law_exponent,tail_power_law_exponent_with_p,p_value,degree_assortativity,degree_assortativity_p_value,clustering_coefficient,directed_clustering_coefficient,spectral_norm,operator_2_norm,cyclic_eigenvalue,reciprocity,non_bipartivity,normalized_non_bipartivity,algebraic_non_bipartivity,spectral_bipartite_frustration,relative_controllability,controllability,in_outdegree_correlation,outdegree_tail_power_law_exponent_with_p,indegree_p_value,indegree_tail_power_law_exponent_with_p,outdegree_p_value,algebraic_connectivity,spectral_separation,triadic_conflict,spectral_signed_frustration,algebraic_conflict,negativity,left_balanced_inequality_ratio,average_left_degree,right_size,left_size,maximum_right_degree,maximum_left_degree,right_balanced_inequality_ratio,right_tail_power_law_exponent_with_p,left_p_value,right_p_value,left_tail_power_law_exponent_with_p,average_right_degree
1081,edit-kkwiki,0,515572,2304757,,,1501173,,81728501403,6824219657447501,5.2068199999999993e+20,,26387011679,538013594602,517309,,,8.94058,0.000346129,1.5353,512405,,,13,3.03139,3.91364,4,3.14454,0.768668,0.207934,,,0.686825,2.38962,1.651,,,-0.315556,0.0,,,3534.26,,,,,,,,0.968831,498817,,,,,,0.00358519,,,,,,0.0367297,269.436,507018,8554,2925,517309,0.29615,,,,,4.54571
1082,actor2,0,1199919,3782463,,,,,146912845,,1240268542836,,23017846,779360402,1590,,,6.30453,,,1169724,,,26,6.78167,9.06029,7,7.27852,0.68195,0.22776,,,0.927764,2.07649,3.401,3.401,0.0,-0.0513653,0.0,,,65.227,,,,,,,,0.585869,702995,,,,,,,,,,,,0.295251,12.458,896302,303617,1590,1334,0.222526,1.871,0.0,0.0,3.921,4.22008
1083,edit-enwikibooks,0,328993,2233443,,,766272,,5255623618,83438718750347,1105380470247386240,,1523983107,33216173564,106575,,,13.5774,,2.91469,313096,,,13,3.65808,4.94917,4,4.17734,0.815331,0.164954,,,0.800517,,2.251,2.251,0.835,-0.209422,0.0,,,5192.56,,,,,,,,0.746204,243214,,,,,,0.00925146,1.41358,,,,,0.116142,28.1758,249725,79268,12113,106575,0.208526,2.511,0.911,0.839,2.011,8.94361
1084,wikipedia_link_az,1,167246,4465854,,,,509,2842801427,,31325024930525724,78180069,31143227741,,22662,2541,21504,53.4046,0.000159659,,166993,121964,0.729249,10,2.85725,3.89662,3,3.41417,,0.209182,0.228923,0.185953,,,2.621,,,-0.0833359,0.0,0.0825032,0.604101,,525.102,251.014,0.468372,0.399629,0.0884933,0.17039,0.00103994,0.376129,62906,,,,,,,,,,,,,,,,,,,,,,,
1085,edit-mlwiki,0,362166,2349591,,,1094136,,7236441972,78360916793788,817525241406720128,,3406295614,56199087604,82791,,,12.9752,9.28102e-05,2.14744,359504,,,11,3.49935,4.48967,4,3.94725,0.851875,,,,0.750453,,2.091,2.091,0.0,-0.242073,0.0,,,3682.34,,,,,,,,0.901587,325748,,,,,,0.0436772,1.20078,,,,,,64.974,326004,36162,9934,82791,,4.031,0.0,0.928,1.831,7.20725
1086,wikipedia_link_zh_min_nan,1,429317,4421679,,,,145,17692846133,377632019424593,8195151838068425728,90790035,41994257123,,111978,814,111949,20.5987,2.3990000000000002e-05,,429150,,,11,3.36397,4.7486,4,3.8577,0.834756,0.164151,0.223003,0.140221,,1.78417,1.951,,,-0.0958371,0.0,0.0153944,0.853859,915.597,510.118,454.0,0.576491,0.445746,0.001492,,0.000247197,,,0.801425,,,,,0.0174846,1.10242,,,,,,,,,,,,,,,,
1087,edit-bewiki,0,446889,2461702,,,1393066,,29230878977,789986316663629,1.93266e+19,,15426065880,240336472036,191119,,,11.0171,0.000423339,1.76711,436756,,,12,3.34311,3.89262,4,3.54907,0.841924,0.154606,,,0.696858,2.54832,1.921,1.921,0.0,-0.38722,0.0,,,14933.9,,,,,,,,0.967758,423755,,,,,,0.0474974,5.18316,,,,,0.0313641,328.709,439400,7489,14899,191119,0.223081,4.541,0.0,0.0,1.691,5.60242
1088,edit-iowiktionary,0,303742,2537593,,,1397444,,87380697738,4833675190359000,2.2402700000000003e+20,,105356001528,1192374375348,500295,,,16.7089,0.00851935,1.81588,303374,,,11,1.64063,3.54397,2,2.43932,0.7522,0.217139,,,0.65289,1.80501,,,,-0.357655,0.0,,,3126.8,,,,,,,,0.996508,302533,,,,,,0.0410476,1.67418,,,,,0.0233229,4690.56,303201,541,4431,500295,0.31191,,,,,8.36934
1089,wiki_talk_pt,1,541355,2424962,,,1463308,,75046674318,6921495573201649,5.51844e+20,2241409,13588648746,408898646862,504444,504376,12998,8.95886,4.9931099999999995e-06,1.65718,534618,21747,0.0401714,9,2.22404,3.24704,3,2.73906,0.762874,0.201567,0.0498606,0.306837,0.703861,2.26113,1.661,,,-0.244805,0.0,8.960060000000001e-05,0.014204,6906.26,3595.95,3342.92,,0.746785,0.0147082,0.0312976,0.0014928,0.943183,510597,0.513708,,,,,0.0202643,1.14561,,,,,,,,,,,,,,,,
1090,edit-lvwiki,0,327280,2499933,,,1242525,,13806961746,183289402412780,,,18278081647,201456600310,154946,,,15.277,,2.01198,325191,,,11,3.40481,3.94351,4,3.73252,0.867715,0.136861,,,0.711391,,1.891,,,-0.260832,0.0,,,3886.01,,,,,,,,0.935052,305430,,,,,,0.00782671,1.07479,,,,,0.0345093,212.615,315522,11758,8450,154946,0.184753,,,,,7.92317
1091,petster-friendships-cat,0,149700,5449275,,,,,50615774277,,2.02655e+19,185462177,427574757984,3623072057374,80635,,,72.8026,0.00048632,,148826,,,10,2.15725,2.93524,3,2.65122,0.770961,0.197126,,,0.826455,1.33516,2.121,,,-0.164158,0.0,0.0109924,,1181.57,,,,0.135295,0.0250527,0.10757,0.000367287,0.468043,70066,,,,,,0.106892,1.15646,,,,,,,,,,,,,,,,
1092,wikipedia-discussions-de,1,91340,2435731,,,987092,384547,235942901,189512901727,90906845815278,5727265,1088430251,9652669352,24285,12787,11498,53.3333,0.000118314,2.46758,89146,,,13,3.17252,3.95142,4,3.6453,,0.107334,0.113323,0.120742,,1.816,1.701,,,-0.064893,0.0,0.0728218,0.0670298,4590.3,2316.66,,0.493334,0.785514,0.0435178,0.0732265,0.0010771,0.471075,43028,0.911943,,,,,0.0770713,1.09291,,,,,,,,,,,,,,,,
1093,dimacs9-NE,1,1524453,3868020,,,,0,3662100,26925368,25629408,37012,148092,19701156,18,9,9,5.07463,1.66441e-06,,1524453,1524453,1.0,2098,720.652,1327.23,721,764.448,0.202056,0.432455,0.432455,0.432455,0.994586,2.18987,6.461,6.461,0.0,0.105737,0.0,0.0303203,0.0303203,8.67033,4.33517,4.33517,,0.0914157,0.000394322,0.000779372,7.6791e-05,0.0973195,148359,1.0,6.461,0.0,6.461,0.0,5.38007e-07,,,,,,,,,,,,,,,,,
1094,edit-bnwiki,0,545404,2469893,,,1399600,,48646969946,2862769306239449,,,20300587904,356995573188,267552,,,9.05711,0.00011976,1.76471,536944,,,13,3.35827,3.94349,4,3.61058,0.833749,0.145846,,,,,3.121,3.121,0.0,-0.170346,0.0,,,3006.83,,,,,,,,0.93666,510457,,,,,,,1.47285,,,,,0.0397876,110.544,523061,22343,5061,267552,0.231414,5.211,0.0,0.008,1.971,4.722
1095,wikipedia_link_tt,1,136014,4919249,,,,,7103043449,63342557443717,583847747059359360,195246386,79401198933,,51641,1196,51042,72.3345,,,135985,55229,0.406054,11,2.72476,3.98735,3,3.29346,0.82346,0.152561,0.171547,0.191852,0.863332,1.47106,,,,-0.0808916,0.0,0.0824631,0.839557,,578.389,530.008,0.654513,0.567452,0.00943473,0.0181085,9.301060000000001e-05,0.49589,67448,0.769205,,,,,,1.00992,,,,,,,,,,,,,,,,
1096,edit-ruwikisource,0,609903,2434171,,,1078960,,50781916248,,1.66882e+20,,7319061472,261682482164,477162,,,7.98216,0.0005758,2.25603,607855,,,12,3.40626,3.95929,4,3.72652,0.740434,0.22188,,,,,1.521,,,-0.0618283,0.0,,,4477.39,,,,,,,,0.990611,603062,,,,,,0.008014,1.61029,,,,,0.027996,788.268,606815,3088,13030,477162,0.319987,,,,,4.01139
1097,wiki_talk_zh,1,1219241,2284546,,,1735118,,454139500995,137646405415475008,,1266904,6675967773,1869969123320,937210,937208,9268,3.74749,1.16721e-06,1.31665,1217365,10831,0.0088834,8,1.82208,3.71631,2,2.74244,0.713955,0.209474,0.0448995,0.346666,0.637871,6.21744,2.861,,,-0.420015,0.0,8.36904e-06,0.0214217,4652.72,3132.92,2323.87,0.0445365,0.352994,0.0127652,0.0298918,0.00267172,0.985251,1201258,0.545043,,,,,0.0370078,1.42591,,,,,,,,,,,,,,,,
1098,wikipedia_link_mk,1,136857,4903213,,,,,3174352469,7975977540936,,90030780,29556333984,,17475,3612,17466,71.6545,,,136738,,,11,2.86189,3.9402,3,3.43488,,0.217719,0.238062,0.204741,,,,,,-0.110606,0.0,0.0850858,0.624295,,439.912,314.168,0.531225,0.347315,0.0389181,0.0766593,0.000363855,,,0.696288,,,,,,,,,,,,,,,,,,,,,,
1099,edit-urwiki,0,678976,2499640,,,1611787,,103717371960,7269247564440648,,,33187012734,680368882314,358252,,,7.36297,0.000348418,1.55085,675236,,,10,3.26766,3.87214,4,3.38588,0.785983,0.18478,,,0.663143,2.65003,2.791,2.791,0.0,-0.379048,0.0,,,8900.82,,,,,,,,0.981117,665317,,,,,,,,,,,,0.0213935,363.161,672093,6883,8182,358252,0.287644,6.701,0.0,0.337,1.841,3.71919
1100,wikipedia_link_ka,1,159755,4887982,,,,,3970105850,20087046933501,,77137955,18618740690,,28385,4268,28372,61.1935,0.000191523,,159668,110458,0.691421,10,2.69092,3.82209,3,3.25807,0.722407,0.215102,0.242717,0.200878,0.903692,,,,,-0.0710258,0.0,0.0582891,0.606173,,419.105,,0.557443,0.447908,0.0662207,0.130832,0.000740629,0.341304,54525,0.714017,,,,,,1.17176,,,,,,,,,,,,,,,,
1101,edit-mkwiki,0,423143,2583957,,,1339883,,28595090121,871586286392096,2.51822e+19,,20345739710,277149821850,244406,,,12.2132,0.000299793,1.92849,420976,,,11,3.31839,3.88746,4,3.51249,0.853198,0.142589,,,0.695697,,3.011,3.011,0.0,-0.303724,0.0,,,3614.91,,,,,,,,0.953507,402769,,,,,,0.0370059,1.68052,,,,,0.0323484,238.372,412303,10840,3144,244406,0.207741,5.861,0.0,0.542,1.761,6.26713
1102,jester1,0,73521,4136360,,,,,102339759934,1907263353344646,2.89318e+19,,2599984203310,21209254824380,73413,,,112.522,0.563376,,73521,,,4,1.49962,1.90042,2,1.99922,0.645907,0.269422,,,0.756826,1.84921,2.091,,,-0.413704,0.0,,,3007.63,,,,,,,,,,,,,,,8.92426,1.17223,,0.0333259,14.9996,0.455631,0.385244,56.3376,100,73421,73413,100,0.404071,,,,,41363.6
1103,bibsonomy-2ut,0,210467,2555080,,,453987,,991843705,4596638282952,19818609712155388,,305062057,6409052574,428436,,,24.2801,0.000382829,5.62809,209357,,,12,3.51773,4.01115,4,4.05136,0.926128,0.0897858,,,0.772367,3.67491,1.961,1.961,0.271,,,,,62391.4,,,,,,,,0.95012,199969,,,,,,0.0166019,1.10536,,,,,0.0804832,440.987,204673,5794,182908,428436,0.134076,2.201,0.0,0.0,1.681,12.4837
1104,wikipedia_link_simple,1,185262,5098259,,,,513,1999105088,3534911521252,,197848138,77830596597,,18962,2039,18446,55.0384,,,185198,140912,0.760609,10,2.93441,3.93231,3,3.49477,,0.180973,0.194384,0.16322,,,1.891,,,-0.0474228,0.0,0.296905,0.783781,,700.682,682.022,0.502593,0.85106,0.0527808,0.101359,0.000611736,0.370632,68664,0.637793,,,,,,1.5291,,,,,,,,,,,,,,,,
1105,edit-svwiktionary,0,624325,2728074,,,1712445,,121806057857,11082853059264392,8.56301e+20,,42604063037,828060985674,650950,,,8.73928,0.00117658,1.59309,572945,,,13,3.00595,3.80831,4,3.02211,0.757736,0.207172,,,,2.22847,2.961,2.961,0.0,-0.301992,0.0,,,4465.17,,,,,,,,0.992277,568934,,,,,,0.0433651,2.28446,,,,,0.0213202,1165.84,621985,2340,5800,650950,0.308481,5.131,0.015,0.0,1.451,4.38608
1106,wiki_talk_es,1,497446,2702879,,,1250097,310456,36007011621,2134034493823165,,2521702,17513494039,284138127786,373874,373873,23514,10.867,5.0518699999999995e-06,2.16214,476465,,,10,2.72021,3.74494,3,3.22373,0.819217,0.165433,0.0784578,0.262955,0.732569,2.77401,1.781,,,-0.234987,0.0,0.000210101,0.0270279,7538.02,3800.41,,0.250041,0.76178,0.0172553,0.0435373,0.00235225,0.87116,433355,,,,,,0.0423044,1.16215,,,,,,,,,,,,,,,,
1107,wikipedia_link_et,1,295546,5143473,,,,359,2235631295,3723781561097,8094172377338537,67831894,16719917783,,15907,4680,15879,34.8066,5.88852e-05,,295478,210361,0.711771,10,3.35229,4.54476,4,3.84869,0.777532,0.193303,0.202891,0.183539,0.882579,,2.351,,,-0.0803186,0.0,0.0910238,0.433346,879.135,440.839,379.984,,0.76887,0.0864351,0.138721,0.00123396,,,0.74567,,,,,,,,,,,,,,,,,,,,,,
1108,bibsonomy-2ui,0,773241,2555080,,,801784,,12835279754,394424715096067,1.03759e+19,,2794766,51365102888,428436,,,6.60875,0.000180314,3.18674,349470,,,16,3.76318,5.78828,4,4.69834,0.730014,0.222665,,,0.738449,29.2506,4.691,4.691,0.0,-0.0874791,0.0,,,1767.75,,,,,,,,0.985184,761785,,,,,,0.00106924,1.62181,,,,,0.0804832,440.987,767447,5794,341,428436,0.324171,5.281,0.0,0.0,1.431,3.32932
1109,edit-cywiki,0,208087,2767004,,,979109,,13498204503,292097112413717,6634120022693724160,,15119863031,174955343246,843214,,,26.5947,0.000887368,2.82604,206776,,,12,2.8151,3.81899,3,3.05,,0.152148,,,0.709558,2.03913,3.271,,,-0.313663,0.0,,,9487.2,,,,,,,,0.950872,197422,,,,,,0.00263475,2.40494,,,,,0.0206234,508.173,202642,5445,4705,843214,0.209617,,,,,13.6546
1110,edit-nnwiki,0,328414,2803064,,,1612792,,32600290661,898534934741636,,,45823346622,496994079552,177546,,,17.0703,0.00048186,1.73802,325559,,,11,3.19748,3.86251,4,3.30817,0.843385,0.158159,,,0.705598,2.04115,3.371,3.371,0.0,-0.289464,0.0,,,5790.13,,,,,,,,0.939767,307189,,,,,,0.100164,2.68551,,,,,0.0248967,266.223,317885,10529,8511,177546,0.223223,6.701,0.0,0.044,1.771,8.81786
1111,bibsonomy-2ti,0,972120,2555080,,,2499057,,19526902897,,4.67267e+19,,636346469,83203483378,182908,,,5.25672,1.59099e-05,1.02242,937063,,,22,5.17478,6.94813,6,5.54073,0.6668,0.25173,,,0.857427,2.20999,2.051,2.051,0.0,-0.185572,0.0,,,430.87,,,,,,,,0.686612,667469,,,,,,0.000207657,1.65696,,,,,0.134076,12.4837,767447,204673,341,182908,0.324171,3.921,0.0,0.0,1.791,3.32932
1112,wiki-Talk,1,2394385,5021410,,,,0,12593522422,194800937548878,4295377891639605248,9203519,2152013141,67599513946,100032,100022,3311,4.19432,8.758660000000001e-07,,2388953,111881,0.0467264,11,3.42622,3.94246,4,3.88173,0.73598,0.204663,0.0769222,0.318476,0.78668,4.29332,2.461,,,-0.060392,0.0,0.00219244,0.0146897,493.096,319.068,228.94,0.144121,0.354761,0.016804,0.0318114,0.00203997,,,,,,,,0.0318118,1.5481,,,,,,,,,,,,,,,,
1113,munmun_twitterex_ti,0,1502611,2635885,,,1996158,,4418323415,51877537933158,,,70327726,18239948076,84158,,,3.50841,5.98791e-06,1.32048,1234934,,,31,5.38358,7.67244,6,5.91157,0.671119,0.244057,,,,3.79246,1.941,,,-0.0369485,0.0,,,23853.3,,,,,,,,0.692398,1040405,,,,,,0.000301907,2.92607,,,,,0.13349,9.74154,1232029,270582,84158,70377,0.335298,,,,,2.13947
1114,wikipedia_link_bug,1,14266,6504058,,,,2,1913133598,3048421282701,2338133017359769,604898937,265017214643,,13870,813,13870,911.826,,,14229,12334,0.864573,17,1.4977,1.92069,2,2.03645,,0.419521,0.426102,0.420619,,1.16736,1.471,,,0.0537701,0.0,0.948547,0.999653,,814.019,809.002,0.961773,0.967553,0.0341405,0.0660044,3.47708e-05,0.0474555,677,0.607969,,,,,0.00865834,,,,,,,,,,,,,,,,,
1115,wikipedia_link_tg,1,110972,5611005,,,,15,4321710024,26990031449250,168647078354068864,250221870,82996488729,,32942,709,32824,101.125,0.000455632,,110883,22029,0.19851,11,2.82958,3.95637,3,3.37309,0.805331,0.168065,0.178641,0.240784,0.877176,1.40365,,,,-0.0636096,0.0,0.173696,0.986384,,705.891,699.0,0.855225,0.744885,0.0242655,0.0434534,0.000187531,,,0.870739,,,,,0.0434523,1.57111,,,,,,,,,,,,,,,,
1116,edit-lawiki,0,256074,2989365,,,1459485,,28217772934,654428851241290,,,40389482804,435993250854,231494,,,23.3477,,2.04823,251981,,,12,2.80787,3.83795,3,3.06761,0.824765,0.172676,,,,1.81749,2.651,,,-0.312822,0.0,,,4321.17,,,,,,,,,,,,,,,0.0506121,,,,,,0.0282679,281.75,245464,10610,4204,231494,0.246885,,,,,12.1784
1117,edit-dewikisource,0,447892,2889203,,,1772388,,74460010939,5479059424606325,3.8722699999999997e+20,,23446547576,485416160492,561627,,,12.9013,0.000914248,1.63012,445885,,,11,1.75426,3.7412,2,2.69579,0.696865,0.243833,,,0.703955,1.82666,,,,-0.0676722,0.0,,,4525.63,,,,,,,,0.982004,438882,,,,,,0.0515909,1.5471,,,,,0.0336221,660.994,443521,4371,20767,561627,0.363237,,,,,6.51424
1118,web-Google,1,875713,5105039,,,,0,727417224,667827082809,649372878638139,13391903,539575204,7234914630,6353,456,6326,11.6592,6.65696e-06,,855802,434818,0.49653,24,5.74234,7.9482,6,6.37375,0.597285,0.279274,0.325541,0.221834,0.941199,1.61721,2.731,2.731,0.0,-0.055089,0.0,0.0552306,0.476963,116.964,105.911,37.6396,0.306751,0.174111,0.00124693,,9.439920000000002e-05,0.486544,426073,0.388241,3.661,0.0,2.571,0.3,0.00270491,,,,,,,,,,,,,,,,,
1119,youtube-links,1,1138499,4942297,,,,0,1472987114,33377841563982,379296866521715648,3049419,467434016,9637401158,54051,28564,25487,8.68213,3.8130099999999996e-06,,1134885,509245,0.447295,24,4.75888,6.77573,5,5.43446,0.77535,0.189072,0.212471,0.222466,,2.43192,2.141,2.141,0.0,-0.0368819,0.0,0.00621068,0.00750364,392.305,199.826,193.324,0.78992,0.153139,0.00204596,,0.000202591,0.626172,712893,0.921861,2.131,0.0,1.981,0.0,0.00422903,,,,,,,,,,,,,,,,,
1120,dimacs9-CAL,1,1890815,4630444,,,,0,4192229,30258364,28228721,34672,134075,22471960,14,7,7,4.89783,,,1890815,1890815,1.0,2315,766.79,1248.86,767,778.47,0.209777,0.42434,0.42434,0.42434,0.994497,2.2437,6.461,6.461,0.0,0.0743575,0.0,0.0248116,0.0248116,8.60543,4.30272,4.30272,1.0,0.0878089,0.000181755,0.000360203,3.67717e-05,0.0993656,187882,1.0,6.461,0.0,6.461,0.0,3.67781e-07,,,,,,,,,,,,,,,,,
1121,edit-hiwiki,0,699316,2942630,,,1615728,,56167534322,,1.70825e+20,,13676165567,334083932984,357650,,,8.41574,,1.82124,688223,,,15,3.43717,4.41402,4,3.79637,0.835703,0.14488,,,0.69756,3.2471,2.171,,,-0.23055,0.0,,,2584.31,,,,,,,,0.941718,656159,,,,,,,,,,,,0.0415424,101.215,670243,29073,13570,357650,0.21758,,,,,4.39039
1122,edit-itwiktionary,0,462041,3009010,,,2052595,,180566380910,18320496136500864,1.53332e+21,,153112072513,1947166850778,501233,,,13.0249,0.000826207,1.46595,460903,,,12,1.606,3.34914,2,2.33148,0.715092,0.217809,,,0.669394,1.7852,4.081,,,-0.449033,0.0,,,2673.56,,,,,,,,0.979507,452014,,,,,,0.0452043,1.31499,,,,,0.0172199,553.025,456600,5441,7709,501233,0.343073,,,,,6.59004
1123,edit-fiwiktionary,0,442268,3103726,,,1732365,,88262258202,4835420998475333,2.43147e+20,,73029735213,937291396238,501453,,,14.0355,0.00190943,1.79161,433487,,,12,1.96136,3.79043,2,2.95052,0.774705,0.202802,,,0.671018,1.96568,,,,-0.216863,0.0,,,2018.03,,,,,,,,0.991081,429947,,,,,,0.0569755,,,,,,0.0186202,1505.93,440207,2061,2765,501453,0.292124,,,,,7.05061
1124,digg-votes,0,142962,3018197,,,3010898,,3452748079,5552161405338,17710305006153294,,29370076933,248779120872,24099,,,42.2238,0.00607869,1.00242,142962,,,4,3.398,3.8796,4,3.7071,0.882325,0.126496,,,0.820754,1.57235,1.771,,,-0.179694,0.0,,,604.628,,,,,,,,0.950294,135856,,,,,,0.631175,,,,,,0.177512,21.6499,3553,139409,24099,10526,0.333871,,,,,849.478
1125,edit-vowiki,0,251379,3159242,,,1562889,,60125724903,2976067036131336,1.45232e+20,,111928252235,1135932379110,1157637,,,25.1353,0.00236407,2.02141,250073,,,15,1.58012,2.51152,2,2.20786,0.788123,0.213521,,,0.681727,1.871,5.501,,,-0.441939,0.0,,,3594.74,,,,,,,,0.97967,245902,,,,,,,3.48743,,,,,0.0206163,1188.58,248721,2658,1043,1157637,0.285386,,,,,12.702
1126,edit-kawiki,0,337163,3135173,,,1409327,,16115587424,216479232866756,,,,247182705442,144028,,,18.5974,0.000385038,2.22459,334873,,,12,3.36681,3.90272,4,3.62684,0.853706,0.150395,,,0.715158,2.25432,,1.801,0.0,-0.193348,0.0,,,,,,,,,,,0.940059,316453,,,,,,0.0528021,,,,,,0.027549,279.178,325933,11230,6692,144028,0.213836,4.511,0.0,0.0,1.791,9.61907
1127,petster-cat-friend,0,204473,5448197,,,,0,50615774277,1084712871297358,2.02655e+19,185462177,427574757984,3623072057374,80634,,,53.2901,0.000486334,,148826,,,10,2.2366,2.98801,3,2.72739,0.771029,0.197067,,,0.826425,1.33518,2.121,,,-0.164158,0.0,0.0109924,,1181.28,,,,0.134819,0.0250527,0.108273,0.000369755,0.468874,70183,,,,,,,1.15583,,,,,,,,,,,,,,,,
1128,wikipedia_link_el,1,216365,5890410,,,,683,4647812607,21686536947538,121264306288337264,72524143,20074740348,,30085,2039,30080,54.4488,,,216228,165633,0.765526,10,2.85161,3.93699,3,3.41457,,0.214563,0.234657,0.190681,0.900384,,,2.071,0.0,-0.0622674,0.0,0.0468118,0.342807,,390.93,265.335,0.392624,0.35312,0.0623796,,,0.292848,63362,0.673467,2.181,0.0,2.381,0.0,,,,,,,,,,,,,,,,,,
1129,wiki_talk_it,1,863846,3067680,,,1661453,233216,111830205348,11983312889964536,1.0659799999999999e+21,3355399,6154887250,496562923582,388889,388882,15811,7.10238,2.22646e-06,1.84638,862214,36356,0.0420862,7,2.55495,3.67068,3,3.04993,0.832891,0.149587,0.0640849,0.232251,0.68191,4.22938,1.791,,,-0.30142,0.0,9.001320000000001e-05,0.0306905,9318.44,4750.84,4599.85,0.174273,0.712796,0.0298822,0.0670317,0.00472298,0.962088,831096,0.694897,,,,,0.102767,1.10369,,,,,,,,,,,,,,,,
1130,citeulike-ut,0,175992,2411819,,,538761,,192371639,194428758411,302871675261597,,146940165,1946141506,189295,,,27.4083,0.000154741,4.4766,174060,,,12,3.60905,5.23356,4,4.26234,0.912555,0.0994623,,,0.82761,2.82169,1.791,,,-0.0971016,0.0,,,12418.1,,,,,,,,0.810491,142640,,,,,,0.0315275,1.03744,,,,,0.12803,106.177,153277,22715,189295,57706,0.126018,,,,,15.735
1131,wikipedia_link_th,1,266937,5845248,,,,839,2502719668,11691875089255,99065956891163008,102193399,20050919718,,39033,2662,38824,43.795,8.20324e-05,,266787,184558,0.691392,10,3.20255,4.15446,4,3.67429,,0.175758,0.181064,0.180231,0.885205,,2.111,2.111,0.0,-0.0265463,0.0,0.122499,0.471805,,419.551,387.589,0.442533,0.744273,0.0560636,0.0992749,0.000727261,,,0.707194,2.231,0.0,2.111,0.0,,,,,,,,,,,,,,,,,,
1132,edit-srwikinews,0,124174,3129705,,,220579,,3340788687,,500226064942920256,,885280255,,2841725,,,50.4084,0.00341737,14.1886,123822,,,11,3.30371,5.52982,4,3.68038,,0.0896453,,,,3.22699,,,,-0.26816,0.0,,,,,,,,,,,0.992073,123155,,,,,,0.016712,,,,,,0.013909,5995.6,123652,522,11387,2841725,0.135734,,,,,25.3106
1133,edit-azwiki,0,338081,3230280,,,1322563,,16925506436,279942922731771,4143171137821337600,,13401321634,174915953730,244224,,,19.1095,0.000201829,2.44244,333014,,,11,3.29621,3.90801,4,3.52502,0.844496,0.161622,,,,2.17721,2.681,,,-0.165502,0.0,,,,,,,,,,,0.897665,302882,,,,,,0.0115926,1.09635,,,,,0.0375364,156.483,317438,20643,16802,244224,0.228839,,,,,10.1761
1134,citeulike-ti,0,885046,2411819,,,2338554,,21880206884,1213193044873518,,,383860055,90596413384,189295,,,5.45016,,1.03133,857460,,,24,3.91225,5.97078,4,4.76826,0.707021,0.226626,,,0.847063,2.32535,2.331,,,-0.0833706,0.0,,,436.053,,,,,,,,,645431,,,,,,0.00114749,1.43065,,,,,0.126018,15.735,731769,153277,1646,189295,0.303091,,,,,3.29587
1135,citeulike-ui,0,754484,2411819,,,842426,,343677541,476035640534,909343585975693,,962735,1384098060,57706,,,6.39329,5.0681000000000005e-05,2.86294,576245,,,20,6.26575,8.50164,7,7.06448,0.747683,0.209926,,,0.848102,9.07294,3.281,3.281,0.0,-0.0233768,3.76543e-102,,,1448.25,,,,,,,,0.940542,709624,,,,,,0.000109746,1.4485,,,,,0.12803,106.177,731769,22715,1646,57706,0.303091,3.321,0.0,0.061,1.461,3.29587
1136,webuni,0,206350,3869707,,,1948004,,1353078618,779473328511,513883255015350,,21431485810,176869111720,28837,,,37.5062,0.0015693,1.9865,206350,,,6,3.45354,3.89098,4,3.89433,0.938415,0.0745709,,,0.789169,2.223,1.641,,,-0.157788,0.0,,,3181.6,,,,,,,,0.939889,193946,,,,,,0.522814,1.04785,,,,,0.243679,623.945,200148,6202,28837,23355,0.107938,,,,,19.3342
1137,wikipedia_link_lt,1,268159,6091416,,,,111,6160862301,35418522526899,306124821067744640,66403812,16548818348,,49235,1165,49227,45.4314,8.470980000000002e-05,,268143,216668,0.807983,9,2.78399,3.88903,3,3.34922,0.726898,0.21807,0.248868,0.164553,0.895623,,,,,-0.0723542,0.0,0.032335,0.346901,554.406,355.363,253.293,0.33781,0.439082,0.132337,,,,,0.618775,,,,,,,,,,,,,,,,,,,,,,
1138,edit-kowiktionary,0,409984,3351194,,,1781718,,172539742992,,1.41652e+21,,,,1250119,,,16.3479,,1.88088,409516,,,10,1.54915,1.98849,2,2.16292,,0.247898,,,,,,,,-0.368036,0.0,,,2613.03,,,,,,,,0.993847,407351,,,,,,0.0230631,,,,,,0.0186722,2577.84,408684,1300,874,1250119,0.369238,,,,,8.19996
1139,edit-nlwiktionary,0,658240,3476883,,,2197014,,160181315684,12875199316255094,9.40567e+20,,,,757493,,,10.5642,,1.58255,657621,,,11,3.0742,3.82711,4,3.09844,0.743905,0.213465,,,0.662374,2.09261,,,,-0.312139,0.0,,,2110.23,,,,,,,,0.993945,653951,,,,,,,,,,,,0.0222725,1621.68,656096,2144,5319,757493,0.321853,,,,,5.29935
